Context,Question,Answer,Category
"In handing down the appeal court's decision, Judge Henry Litton said ""it is quite clear"" that the charge against the defendant was ""unsustainable under the law."" Stuchiner's application for the court to pay legal costs was rejected.",What happened after the charge?,"unsustainable, application, rejected",0
"The initiative was launched in 1996, within days of a massacre of 35 people in Port Arthur, Tasmania, by a gunman using semi-automatic weapons. Under the new law, the federal government banned semi-automatics and pump-action rifles and shotguns and offered to buy these weapons from gunowners, using a levy on income tax.",What events started when the initiative was launched?,"banned, offered, buy, using, levy",0
"At the end of the month, the minister will report to the leadership of Bulgaria's ruling coalition on the outcome of the talks. A decision will then be made whether to sign new long-term agreements or to go by the current agreements.",What might happen after the minister reports to the leadership?,"sign, go",0
"Various vocational trainings will be provided to help urban and rural labors take a job or start their own businesses, Tian added. China reported a 4.2 percent registered urban unemployment rate by the end of September.",What will be provided before labors start their own businesses?,trainings,0
"Once triggered, the rights allow holders to buy additional shares at 50% of the then current market price or, at the board's discretion, to receive securities or assets. Separately, Dominion Textile posted net income of 4.7 million Canadian dollars ($4 million), or 12 Canadian cents a share, for the fiscal-first quarter ended Sept. 30.",What will happen before rights are triggered?,,0
"The official, speaking on condition of anonymity, said at that time that Meshaal, now in exile in Syria, would visit Cairo in four or five days. But Meshaal didn't come to Egypt in the end.",What event has begun but has not finished?,,0
"Landrieu won by a mere 5,788 votes over Republican rival Louis ""Woody"" Jenkins, who has charged that the local Democratic machine committed widespread fraud, including paying voters in impoverished New Orleans neighborhoods to vote more than once. Last week, two lawyers hired by the committee -- one Republican, one Democrat -- said they wanted to look into three charges relating to voter fraud before making a recommendation on a full-scale investigation.","According to the lawyers, what will definitely happen after they said something?","look, making",0
McKinnon's spokeswoman said the United States had ``very good intelligence'' linking the sites struck overnight with the embassy attacks. ,What happened after the embassy attacks?,"struck, linking, said",0
"An hour before her colleagues gathered for their first vote of a new Congress, Senator Kelly Ayotte slipped into an empty Senate chamber to savor the grandeur of her legislative home. As Ms. Ayotte, a freshman Republican from New Hampshire, sat down at the wooden desk where generations of lawmakers from her state had cast their votes, a doorman marched toward her with purpose.",What happened after the first vote of the new Congress?,,0
"Earlier Sunday, police and militant Protestants clashed in a religiously polarized part of north Belfast. Police said an unmarked police car was hit with gasoline bombs from the Protestant side.",What event has begun but has not finished?,polarized,0
Tomen said its capital tie-up with the Rotterdam-based Koppert would help breed and market types of benign insects peculiar to Japan. It plans to sell 12 other types of insects to farmers for use in greenhouses.,What will happen after the insects are used in greenhouses?,,0
"As many as 300,000 people have died and more than two million fled their homes in what UN aid agencies have dubbed the world's worst humanitarian crisis with reports of rapes, extrajudicial killings and other atrocities rampant. Much of the abuse is blamed on Khartoum's proxy militias -- the so-called ""Janjaweed"" -- but in its report, HRW placed responsibility higher, citing witness accounts from refugees and interviews with Sudanese soldiers and officials.",What occured before the report?,"died, fled",0
"Following the collapse of the former Soviet Union in 1991, Turkes supported the creation of a union of Turkic countries with the participation of Turkey and the mainly Moslem former Soviet republics of Azerbaijan, Kazakhstan, Kyrgyzstan, Turkmenistan and Uzbekistan. Turkes was also the virtual leader of the ultranationalist Grey Wolves organisation, whose members were involved in bloody fighting with extreme leftist groups in the late 1970s, prompting the 1980 military coup.",What will happen in the future?,,0
"Daiwa Securities Co. Ltd. and Nikko Securities Co. Ltd., two of Japan's Big Four stockbrokers, announced Friday net losses for the year to March, joining market leader Nomura Securities Co. Ltd. which disclosed its own net loss of 243 billion yen (two billion dollars) on Thursday. Daiwa, the country's second-largest broker, said it suffered a net parent company loss of 84.0 billion yen, reversing a net profit of 43.7 billion yen a year earlier.",What event has already finished?,"announced, losses, disclosed, loss, said, suffered, loss, profit",0
"Turkey began membership talks on October 4, but critics say the country has yet to fully embrace the EU's democarcy norms despite the far-reaching reforms it has already undertaken. Erdogan has defended freedom of speech citing his own conviction for ""inciting religious hatred"" by reciting a poem with Islamic messages during a political rally in 1997, which earned him a four-month stint in prison.",What event has already finished?,"undertaken, defended, citing, inciting, reciting, rally, earned, stint",0
"Anheuser-Busch announced its plan at the same time it reported third-quarter net income rose a lower-than-anticipated 5.2% to $238.3 million, or 83 cents a share, from $226.5 million, or 78 cents. Third-period sales were $2.49 billion, up from last year's $2.34 billion.",What happened before the income was reported?,"rose, sales, were",0
"An hour before the five-man group was scheduled to appear, police decided the situation was under control and allowed the show to go on. ",What happened before the police allowed the show to go on?,"decided, situation",0
"Thomas and Nuggets coach George Karl had an argument during a summer league meeting. Before the fight, Anthony had a remarkable game, demoralizing the Knicks with easy drives to the basket.",What event happened during a summer league meeting?,"argument, fight",0
"US stocks rebounded overnight on a sharp drop in oil prices, bringing more holiday cheer to the Tokyo market. Hideyuki Suzuki, strategist at SBI Securities, said that the market tone remained bullish despite the thin trade at the end of the year with many foreign investors absent.",What happened before the drop in oil prices?,,0
The government dissolved the federation 10 days later and set up a caretaker committee to run the sport. FIFA has also dismissed the caretaker committee appointed by the government last week to oversee the running of the football.,What happened before FIFA dismissed the caretaker committee?,"dissolved, days, set, appointed, week",0
"According to a survey, 2-3 percent of the world populations suffer from severe mental disorder. The first SAARC psychiatrists meeting was held in Agra, India last year.",What might happen following the first SAARC psychiatrists meeting?,,0
"The British paper, packaging and publishing concern, said profit from continuing lines fell 10% to #118 million from #130.6 million. While there were no one-time gains or losses in the latest period, there was a one-time gain of #18 million in the 1988 period.",What happened after the one-time gain?,"profit, fell",0
"The summit also passed three agreements -- Avoidance of Double Taxation, Liberalization of Visa Regime and SAARC Arbitration Council. At the concluding session of 13th SAARC summit, Bangladesh Prime Minister Khaleda Zia said that India has offered to host the next summit and the 7-member states of SAARC have welcomed it.",What will happen after the session?,summit,0
"Senator Harry Reid, a moderate Democrat from Nevada, was elected unchallenged as U.S. Senate majority leader for the new Congress, to succeed Republican Senator Bill Frist of Tennessee, who did not seek a third term in this year's elections. Speaking to reporters after the election, Reid said Democrats "" must do everything we can to move the country forward.",What will happen after the country moves forward?,,0
"The company has made payments of $175 million against the original $585 million of bank debt incurred in connection with the recapitalization. These payments consisted of $54 million in scheduled payments and $121 million in prepayments, funded by $82.8 million from operating cash flow, zero-coupon subordinated debt and assets sales.",What happened during the recapitalization?,incurred,0
"The advertisement, said Kelli Conlin, the executive director of the New York State affiliate of Naral, is intended to spotlight D'Amato's vote against the 1994 Freedom of Access to Clinic Entrances Act, which Schumer sponsored. The measure made it a Federal crime to attack or blockade an abortion clinic.",What event has begun but has not finished?,"is, intended, spotlight",0
"Also in the capital, Juan Cotzajay, 17, was shot to death by four men in an armed robbery on a bus. The Volunteer Fire Service also found five male corpses in different areas of Guatemala City.",What event has begun but has not finished?,,0
"At the concluding session of 13th SAARC summit, Bangladesh Prime Minister Khaleda Zia said that India has offered to host the next summit and the 7-member states of SAARC have welcomed it. Zia also said that the 13th summit has decided to set up a SAARC Surveillance and Rapid Response System to deal with health concerns such as bird flu, that has affected several countries in East Asia.",What will happen in the future?,"deal, set, host",0
"In a joint statement with Tourism Minister Andrew Thomson, it said two new flights would leave Bombay on Monday and Tuesday nights from March 30, with the third departing each Thursday from August 6. This will add nearly 700 seats a week on the route.",What will happen in the future?,"flights, leave, departing, add",0
"Stocks rose, pushing the Dow Jones industrial average up 72.24 points, to 8,189.49, leaving the index within 70 points of its record high set on Aug. 6. In the bond market, a sensitive barometer of inflation anxiety, prices edged up, pushing down the yield on the benchmark 30-year Treasury bond to 5.92 percent from 5.93 percent.",What happened after stocks rose?,"leaving, within",0
"TEHRAN, Nov. 8 (Xinhua) -- Iran on Tuesday rejected a recent statement issued by the European Union (EU) which urges Tehran to fully suspend activities related to uranium enrichment before the two sides resume the stalled bilateral nuclear talks. Iranian chief nuclear negotiator Ali Larijani Tuesday rejected the EU call to stop the uranium conversion facilities and condemned the EU for having gone extremes and adopting journalistic hype toward the Iranian nuclear issue, the official IRNA news agency reported.",What happened after a statement was rejected?,"condemned, reported",0
"The slowdown raises questions about the economy's strength because spending fueled much of the third-quarter GNP growth. Meanwhile, personal income edged up 0.3%.",What will happen in the future?,,0
"Beijing officials have seized at least 1,159 kilograms of red-yolk eggs, and the eggs have been banned in markets in Chengdu in Sichuan Province and Guangzhou in Guangdong Province. ",What event has begun but has not finished?,banned,0
"""For the funds that have been lost and unable to be recovered, the (local) governments have to compensate,"" according to the report. Local governments must also submit plans to recover misused funds from illegal investments to the ministry before the end of this year, Liu was quoted by the People's Daily as saying.",What will start after funds were unable to be recovered?,"compensate, report, submit, plans, recover, end, quoted, saying",0
"He also must pay restitution for the cost of the search -- $27,445 to the U.S. Coast Guard and $9,109 to the Nassau County Police Department. Evana Roth told CNN in August she thought her husband devised the plan after he was fired from his job in July.",What will happen in the future?,"pay, restitution",0
"Memorial director Arseny Roginsky, quoted by the Russian news website Vesti, said it was ""a complete check on everything concerned with our sources of funding"". He insisted that the NGO law ""will not change our position at all"".",What happened before Arseny Roginsky insisted on something?,"was, check, concerned, funding",0
"She birdied 10 and 15 but bogeyed four of the last five in a demoralising finish. Meanwhile Kiyoshi Miyazato fired five birdies against a lone bogey to tie with Imano and Yokoo, who shot a 64 and 70 respectively.",What happened during the game?,"birdied, bogeyed, fired, shot",0
"The two companies have recently agreed to extend their two existing contracts on purchasing Chinese electricity via the 110- kV power grid for the next four years, ensuring power supplies for the five Vietnamese provinces of Lao Cai, Lai Chau, Ha Giang, Yen Bai and Tuyen Quang. Vietnam has purchased 588 million kWh each year under the contracts since they were signed in 2004, said the report.",What started happening when Vietnam began purchasing 588 million kWh per year?,"purchasing, ensuring",0
"During the third quarter, Compaq purchased a former Wang Laboratories manufacturing facility in Stirling, Scotland, which will be used for international service and repair operations. Mr. Swavely said the new space will allow Compaq to increase the manufacturing capacity of its plant in Erskine, Scotland.",What might happen after the increase of the manufacturing capacity?,,0
"Japanese police announced Wednesday that Air Force sergeant Danny Matlock, stationed at the Kadena base on the southern Japanese island, had been arrested for the Monday attack. ""The commander of the 353rd SOG (Special Operations Group) expressed his sincere regrets about this incident,"" the US Air Force said in a statement.",What happened before he was arrested?,"attack, incident",0
"""The British Army has taken these allegations extremely seriously and they have been extensively and sensitively examined,"" Viggers said in the MoD statement. ""It has been a complex and detailed investigation which has been subject to rigorous internal and external reviews and all viable lines of inquiry have been pursued,"" he said.",What will happen in the future?,,0
"An Iraqi official, speaking on customary condition of anonymity, said Ritter would not try to visit any of the eight presidential sites that Baghdad had placed off-limits to U.N. weapons inspectors. The official said these sites could only be visited by a special team of U.N. monitors and diplomats as laid down by the Feb. 23 accord signed by U.N. Secretary-General Kofi Annan and Iraqi Deputy Prime Minister Tariq Aziz.",What began while the Iraqi official spoke?,"condition, said, said",0
"Journalists following the court hearing are sat behind a glass window, but Amin then ordered a 10-minute break to decide how best the woman could speak. ""Everyone has to hear,"" Amin said.",What did Amin do after the journalists were sat behind the glass window?,"ordered, said",0
"The two ministers will make preparations for the 13th APEC Economic Leaders' Meeting which will be attended by Chinese President Hu Jintao after he concludes his state visit to Britain, Germany, Spain and the ROK. APEC, which has 21 members, is the most important forum of economic cooperation in the Asian-Pacific region.",What happened before the meeting?,"make, visit, concludes",0
Each of the Class C warrants will enable the holders to purchase one share of common stock at $5.50. The warrants may be exercised until 90 days after their issue date.,What will happen in the future?,"enable, purchase, exercised, issue",0
"Various vocational trainings will be provided to help urban and rural labors take a job or start their own businesses, Tian added. China reported a 4.2 percent registered urban unemployment rate by the end of September.",What will have a rate of 4.2 by the end of September?,unemployment,0
"If the family refused, INS had threatened to revoke Elian's parole, meaning federal officials would take him from the Miami family. The family refused to sign the agreement through two days of negotiations, and INS extended its deadline until 9 a.m. EST Tuesday.",What will happen after the family refused?,take,0
"Wholesale prices in the United States fell by 1.6 percent in October, tying with the record decline set in the same month of 2001, the Labor Department reported on Tuesday. The big drop in wholesale prices, a gauge of inflation at the factory gate, followed a 1.3 percent fall in September and was sharper than the 0.5 percent decline expected by analysts.",What began before the record decline in October of 2001?,,0
"The quake, which struck about 390 km east of the Etorofu islands, north of Japan, at 1115 GMT, could generate a tsunami of about 2 meters or more, Japan's Meteorological Agency said earlier. No injuries or damage have been reported so far.",What might happen after a tsunami is generated?,"injuries, damage, reported",0
"Ultimately, U.S. officials approved and delivered six visas, for the four family members, a pediatrician and Elian's teacher from his year in kindergarten. ",What event has already finished?,"approved, delivered, kindergarten",0
"World marathon record holder Paul Tergat thinks next year's London Marathon will provide an opportunity for a new world-class battle, local media reported Wednesday. ""I am looking forward to facing a great competition on a fast course.",What might happen after the media reported?,"competition, opportunity, provide",0
"Sometimes a worse trial than his life had been,"" Rossiyskaya Gazeta quipped. ",What event has begun but has not finished?,,0
"""We think we're getting only 10% of the integration dollars our customers are spending,"" he said. ""We're in environments that are going to spend a lot of money on that.""",What event has begun but has not finished?,"getting, spending, re, environments",0
"Long before Elian thrust them into the unrelenting glare of the international spotlight, the Gonzalez clan was a typical example of the conflicts and painful separations wrought by the Cuban revolution. Of the nine brothers and sisters of Manuel's generation, five have come to Miami, while three remain in Cuba and one has passed away.",What started at the beginning of the Cuban revolution?,conflicts,0
"Construction on the 12-kilometer (seven-mile) bridge, Europe's longest, began three years ago. It is due to be opened in May 1998, in time for the World's Fair in Lisbon.",What will happen after the bridge is opened?,Fair,0
"If a court edict fails to compel compliance, the Justice Department will have to consider sterner measures, for the relatives will then be resisting the rule of law as defined by both the department and the courts. But Washington ought not to rush to take Elian forcibly from the relatives.",What will happen in the future?,"consider, be, resisting",0
"Trailing 59-45 amid the third quarter, Palestine fought hard to pull within 73-70, but that's the closest they could get. In Friday's other action, Afghanistan, 65-57 winner over Hong Kong, China on Thursday, lost to Syria 84-66 while Kazakhstan beat the United Arab Emirates 89-71.",What happened after quarter?,"'s, get",0
"Roh and Yushchenko welcomed the resumption of six-party talks in Beijing this week and called for ""substantive progress"" in the dismantling of North Korean nuclear weapons, the statement said. Yushchenko arrived here Monday for a two-day state visit.",What happened after the six-party talks?,"arrived, said",0
"Kosovo has been run by a United Nations mission since 1999, when a NATO bombing campaign ended a crackdown by Belgrade on separatist ethnic Albanian rebels in the province. The UN envoy to Kosovo, Martti Ahtisaari, began negotiations in February with Serbian and Kosovo authorities to define the future status of the province.",What event has already finished?,"campaign, ended, crackdown, began",0
"""About the total score...it was a surprise and I was happy to see that."" Asada gained her international prominence by beating Slutskaya to win the Grand Prix Final last year.",What took place before she was surprised?,see,0
"The coaster has the seating capacity of 25 people, but some 45 to 50 people were on board when the accident occurred. Ambulances of the aid groups, busy in the quake-relief activities in the region, rushed to the site of the accident and started shifting the injured to local hospitals.",What was happening while the people were on board?,"accident, occurred, accident, has, busy, activities",0
"Referring to promises made to reduce the tax burden on restaurants and hotels, Villepin told the French National Assembly (parliament): ""A commitment was taken by the president of the Republic by my predecessor (Jean-Pierre Raffarin) and I will fight to ensure it is honoured."" He added: ""The (French) government wants to get an overall agreement on reduced rates of VAT because it is for us about creating jobs and defending the purchasing power of French people.""",What will happen in the future?,"fight, ensure, honoured, get, agreement, creating, defending",0
"In the quarter ended July 31, Jayark had an average of 5.6 million shares outstanding. The transaction is subject to approval by a panel of disinterested directors, the company said, adding that shareholder approval isn't needed.",What event has already finished?,"had, said, ended, adding",0
"Government officials had threatened to revoke the boy's parole if his great-uncle, Lazaro Gonzalez, did not sign a document agreeing to hand Elian over to federal officials once the family's appeal in the 11th U.S. Circuit Court of Appeals was decided.",What hadn't happened before Government officials revoked the boy's parole?,"sign, agreeing, hand",0
"Mexico City's IPC stock index dropped by 0.22 percent to close at 24,266.03 points. A total of 116 million shares were traded at 339 million U.S. dollars.",What happened after trading began?,"dropped, close",0
"Kasaeva pulled herself under her 157kg world record clean and jerk, for a junior and a senior world record in the last attempt, 3kg more than Liu Haixia's final lift, thus claiming the first gold medal with a total result of 275kg for Russia at the worlds. ""I trained quite hard this year, so I succeeded,"" Zarema Kasaeva said after the match.",What event has begun but has not finished?,,0
"First of America said some of the managers will take other jobs with First of America. But it said that severance payments to those executives not staying with the company will reduce First of America's operating results for 1989 by $3 million to $4 million, or 15 cents to 20 cents a share.",What will have happened before First of America's operating results are reduced?,"payments, staying, take",0
"Dealers placed heavy buy orders in the morning to start the first trading day for November transactions. But they failed to sell these stocks to client investors, who were cautious about the sharp gains these issues made this week, the Wako official said.",What happened before the transactions?,"placed, orders, start",0
"In an aside from his prepared text, Singh told lawmakers that India's commitment to stopping the spread of nuclear weapons was ""unshakable"" even though it refuses to sign the Non-Proliferation Treaty. The support of Japan, the only nation to be attacked by atomic weapons, could open the door for international nuclear cooperation with India and counter Singh's critics, who say he has conceded too much to Washington.",What event happened to Japan in the past?,attacked,0
"An earthquake measuring 6.6 on the Richter scale hit the northwest Chinese region of Xinjiang on Friday, killing three people, the State Seismological Bureau said. ",What event has already finished?,"earthquake, measuring, hit, killing, said",0
"Australia has developed a reputation for being a safe haven for war criminals attempting to avoid prosecution, a former war crimes investigator said Monday amid media reports that as many as 30 people accused of crimes against humanity have lived here freely. Former deputy prosecutor at the United Nations War Crimes Tribunal at The Hague, Graham Blewitt, said some ""perpetrators are being allowed to roam free in this country without any fear.""",What started after media reports about war criminals came out?,"said, said",0
"In Newark, U.S. Attorney Samuel A. Alito said, ""I don't think there's any legal reason to limit forfeiture of attorney's fees to drug cases."" Mr. Alito said his office ""just responded to an attorney's question about whether we would go after attorney's fees, and that is different from actually doing it, although we reserve that right.""",What did Alito's office do before making a statement on forfeiture?,responded,0
"With the Chepauk outfield waterlogged and little chance of the sun breaking through to dry the ground, there was unlikely to be any play on the second day after the first day was washed out. Umpires Daryl Harper and Mark Benson may call off play during the scheduled lunch break at 11:30 am (0600 GMT) if the weather does not improve.",What will happen in the future?,break,0
"The investigation is currently ongoing and the Afghan government will be informed of the results as soon as they are available, it added. Similar incidents have happened in Afghanistan from time to time before.",What event has begun but has not finished?,investigation,0
"In Paris, foreign ministry spokesman Jacques Rummelhardt said EU governments were holding discussion on how to react to Iran's decision. He said that in principle the ambassadors should ""return normally to their posts.""",What happened before the discussion?,decision,0
"The 8-month grand competition, to be shown on television across China through satellite transmission as of March next year, will allow Chinese audiences to vote for their favorite Kungfu exercisers through the website or mobile phone messages. The top 108 winners are expected to have the chance to play a part in a movie and TV series depicting martial arts and monks of Shaolin, according to Fu Min, general manager with the Shaolin Temple Culture Communication Co., Ltd, which is owned by the temple.",What happens before the competition?,,0
"Like so many other pilgrims Bajan saw for the first time the war-scars that the face-lift could not remove such as the shattered Zetra sports hall just by the stadium. But the most shocking to all was the nearby football-pitch-turned- graveyard where hundreds of people were buried and its neighbour accross the road, the Lion's cemetery.",What happened before the face-lift?,"shattered, buried",0
The Volunteer Fire Service also found five male corpses in different areas of Guatemala City. One of the victims was found in a cardboard box in a market of the city.,What happened before the Volunteer Fire Service found five male corpses in different areas of Guatemala City?,,0
"With the Chepauk outfield waterlogged and little chance of the sun breaking through to dry the ground, there was unlikely to be any play on the second day after the first day was washed out. Umpires Daryl Harper and Mark Benson may call off play during the scheduled lunch break at 11:30 am (0600 GMT) if the weather does not improve.",What happened after the outfield got waterlogged?,out,0
"The Dow Jones Industrial Average climbed 28.76 points (0.23 percent) to 12,444.52, its second consecutive all-time record close, after hitting an intraday high of 12,486.30. The tech-heavy Nasdaq composite index advanced 3.35 points (0.14 percent) to 2,457.20 a day after closing at its highest level since February 2001.",What happened before Dow Jones Industrial Average climbed but has not finished?,,0
"Ballesteros police chief Joel Cumlad said a composite team from the police, fire department and navy has been searching the sea and shore for the plane, but authorities have yet to recover any aircraft debris that would confirm the crash. Search and rescue operations are ongoing in the area with vessels and airplanes dispatched early Friday morning for the operations, officials said.",What has not happened during the operations?,"confirm, recover",0
"Reno has already met with Lazaro Gonzalez's lawyer and a Catholic nun from Miami who oppose his return to Cuba, as well as with Elian's two grandmothers from Cuba, who want him returned. In Havana, Elian's father joined President Fidel Castro on Thursday in a packed auditorium in what has become a daily public rally to press for the boy's return.",What started before Elian's father joined Castro?,rally,0
"Government officials had threatened to revoke the boy's parole if his great-uncle, Lazaro Gonzalez, did not sign a document agreeing to hand Elian over to federal officials once the family's appeal in the 11th U.S. Circuit Court of Appeals was decided.",What might Government officials do after Lazaro Gonzalez refused to sign the document?,revoke,0
"The slowdown raises questions about the economy's strength because spending fueled much of the third-quarter GNP growth. Meanwhile, personal income edged up 0.3%.",What happened before the slowdown?,"fueled, spending, growth",0
"If the heavy outflows continue, fund managers will face increasing pressure to sell off some of their junk to pay departing investors in the weeks ahead. Such selling could erode prices of high-yield junk bonds, already weakened by a rash of corporate credit problems.",What might happen after a rash of corporate credit problems?,"outflows, face, pressure, sell, pay, selling, erode",0
"The opening of two new malls in the latter half of the year would boost their company's total leasable space by 20 percent, he added. ",What happened before he added a thought to his statement?,,0
"Noland said Seoul should insist that its embassies and consulates do their utmost to help refugees, who often take tortuous journeys via Mongolia, Thailand, Vietnam and other countries. It should also consider reinstating substantial financial payments to refugees to prevent them falling prey to criminal trafficking gangs, he said.",What event has already finished?,"said, said",0
"US stocks rebounded overnight on a sharp drop in oil prices, bringing more holiday cheer to the Tokyo market. Hideyuki Suzuki, strategist at SBI Securities, said that the market tone remained bullish despite the thin trade at the end of the year with many foreign investors absent.",What happened while stocks rebounded?,"bringing, remained, trade, absent",0
"The previous government of Silvio Berlusconi, which sent the troops, had also planned to withdraw soldiers by the end of the year. Prodi said earlier this week he had informed U.S. President George W. Bush about the return of Italian troops.",What will happen in the future?,"withdraw, return",0
"""This could be the start of their retaliatory attacks,"" said a military official who asked not to be named. Last week's clashes, which left 30 rebels and four soldiers dead, came amid an impasse in ceasefire talks between the two sides, which failed to agree on the disposition of its forces around a rebel camp in the town of Buldon east of here.",Why did the two sides came to an impasse during the ceasefire talks?,failed,0
"Since then, 427 fugitives have been taken into custody or located, 133 of them as a result of citizen assistance, the FBI said. Six suspects in the Bin Laden investigation are known to be in custody in the Metropolitan Correctional Center in New York.",What will happen in the future?,,0
"""Such cooperation and exchanges are of great significance to promoting mutual understanding between officials of both sides and the development of bilateral friendly relations,"" He said. He made the remark in a meeting with Tan Tee How, permanent secretary of the Ministry of National Development of Singapore, who headed a Singaporean delegation of training course for permanent secretaries.",What happened after Tan Tee How headed a Singaporean delegation?,"made, said, meeting",0
"The UN Security Council adopted a presidential statement Thursday that welcomed peace efforts between the Ugandan government and the Lord's Resistance Army (LRA) with an aim to end the long-running conflict in northern Uganda. The statement called for peace and security to be restored and the rule of law re-established in the areas affected by the fighting and that ""those responsible for serious violations of human rights and international humanitarian law are brought to justice.""",What happened after peace efforts began?,"adopted, called, welcomed",0
"Landrieu won by a mere 5,788 votes over Republican rival Louis ""Woody"" Jenkins, who has charged that the local Democratic machine committed widespread fraud, including paying voters in impoverished New Orleans neighborhoods to vote more than once. Last week, two lawyers hired by the committee -- one Republican, one Democrat -- said they wanted to look into three charges relating to voter fraud before making a recommendation on a full-scale investigation.",What probably happened around the same time Jenkins made charges against local Democrats?,"hired, charges",0
"The police began investigations in December 2005 following a request from the Federal Prosecution Office, and found that the illegal seizure of indigenous reserves became more frequent after the 2002 decree. Up to now, 300,000 square km of indigenous reserves have been deforested and replaced by agriculture and cattle pastures.",What event has begun but has not finished?,investigations,0
"Intelogic Trace Inc., San Antonio, Texas, said it bought 2.7 million shares, or about 18%, of its common stock from an unaffiliated shareholder for $3.625 a share, or $9.9 million. The move boosts Intelogic Chairman Asher Edelman's stake to 20% from 16.2% and may help prevent Martin Ackerman from making a run at the computer-services concern.",What happened before Interlogic made their statement?,bought,0
"During the third quarter, Compaq purchased a former Wang Laboratories manufacturing facility in Stirling, Scotland, which will be used for international service and repair operations. Mr. Swavely said the new space will allow Compaq to increase the manufacturing capacity of its plant in Erskine, Scotland.",What will happen in the future?,"increase, allow, used, operations",0
"But because these claims are more difficult to evaluate and have been coming in more slowly, the company has no estimate of the impact of the earthquake on fourth-quarter results. In New York Stock Exchange composite trading Friday, Aetna closed at $60, down 50 cents.",What is happening now?,"are, has",0
"She recalled a 10-year-old boy who refused to go to school when he learned his mother had contracted HIV last year. He cried, locked himself in his room and refused to talk with her.",What events started before she recalled?,"refused, learned, contracted, cried, locked, refused",0
"``Once again, I never asked anybody to do anything but tell the truth. I know about the stories today.",What happened before someone asked someone to do something?,,0
"``Stopping clinic violence is going to be a major theme of our campaign from now to Election Day.'' In Sunday's debate against Vacco, Spitzer attacked him for failing to enforce a court order in 1992 against anti-abortion protesters who had blocked the entrance to a clinic.",What didn't happen after the court order?,enforce,0
"Li had said bluntly that it was ""the most unreasonable schedule"" he had ever seen. ""Badminton competition demands physical strength,"" said the head coach.",What did Li do before the coach commented?,"said, seen",0
"Even so, on the secretary of state's plane carrying Albright and the three foreign ministers to the ceremony Friday, the ministers were asked whether they could ever foresee Russia as a member of NATO. There was a long pause among the three ministers.",What happened before the four people were carried on the plane?,,0
"Iran in February stopped applying the additional protocol to the nuclear Non-Proliferation Treaty, which allows extensive access to atomic sites, after the Security Council adopted a resolution urging Tehran to freeze enrichment. However, up until now it has still been allowing regular UN inspections of its atomic sites.",What began before the Security Council adopted a resolution?,"Treaty, allows, access, enrichment, allowing, inspections",0
"Addressing the opening ceremony, Chinese Vice Premier Wu Yi said the China-Russia trade volume was expected to reach 60 billion to 80 billion U.S. dollars by 2010, and China's total investment volume in Russia will reach its target of 12 billion dollars before 2020. Zhang Xiaoqiang, Vice Director with the State Development and Reform Commission, said the two countries' cooperation in energy would increase in the future.",What will happen while the countries cooperate?,increase,0
"""Over the past several hours we have seen divisive acts that we don't like, but as a society and as a country we have to have the ethical strength to overcome this challenge,"" she said. Bachelet, together with her parents, suffered torture during the Pinochet regime.",What event has already finished?,"regime, torture, suffered, seen",0
"The Abu Sayyaf members resisted arrest and resulted in a brief gunfight and the killing of Joselito Nazara, said Caringal. Jayrold Nazara was arrested by the same operatives in a follow- up operation at an Abu Sayyaf safe house at the village of Pamucutan, also in Zamboanga City, the officer said, adding that Jayrold Naraza did not resist arrest.",What did not happen before Jayrold Nazara was arrested?,"resist, said, said, adding",0
"Porsche has recently become VW's largest shareholder and is seeking three or four seats on the car maker's supervisory board, including the chairmanship, instead of two. The meetings with investors are likely before a supervisory board meeting in February, the last sitting before board nominations are made at the group's annual meeting in April, FT said.",What will start after Porsche became VW's largest shareholder?,"seeking, meetings, are, meeting, nominations, made, meeting",0
"Reconciliation is not possible right now, but in two or three years it will be necessary."" ""I did not have any fears of coming to Sarajevo"" said his wife, Antija.",What occurred before said?,coming,0
"""The non-food operations were largely Mr. Lortie's creation {and} his strategy didn't work,"" said Steven Holt, a financial analyst with Midland Doherty Ltd. Provigo's profit record over the past two years tarnished the company's and Mr. Lortie's reputations.",What event has already happened?,"operations, creation, strategy, said, record, tarnished",0
"Olmert said Sunday that he agreed to release the money ""in order to help in humanitarian aid to the Palestinian people who suffer among other things due to the failing conduct of their government which is not part of the international community."" The United Arab Emirates is to transfer 30 million dollars to the Palestinian Authority ""to help reduce the suffering of the Palestinian people,"" the official WAM news agency said.",What started after Olmert released the money?,"help, aid, said, said",0
"MCA holds half of Cineplex's equity and 33% of its voting rights through restricted voting shares, while Bronfman interests hold about 24% of the company's equity. Ms. Kolber said the committee had received other bids.",What event has already happened?,received,0
"A key element of efforts to pull Albania back from the brink involves the dispatch of a multinational force of up to 5,000 troops to shore up security while aid is brought into the chaotic Balkan state. But Vranitzky warned that a launch date of April 12 proposed for the military mission could be optimistic.",What will happen in the future?,"dispatch, shore, brought, launch",0
"The Israeli media have said a working document proposed by the United States talks of five, five-bus convoys making the trip each day, transporting 1,800 Palestinians. In contrast, Israel wants only one such convoy, limiting the number to 250.",What events took place before Israel started wanting only a convoy and limiting the transportation number to 250?,,0
